Tissue;Tissue enriched;Group enriched;Tissue enhanced;Tissue restricted;Total elevated
stomach;0.576;0.301;0.134;0.235;0.148
rectum;NA;0.452;0.347;0.155;0.206
testis;0.203;0.127;0.726;0.185;0.208
placenta;0.111;0.488;0.874;0.096;0.213
cerebral cortex;0.863;0.302;0.109;0.744;0.231
esophagus;0.037;0.372;0.851;0.065;0.309
prostate;0.298;0.373;0.654;1;0.347
skeletal muscle;0.862;0.089;0.567;0.298;0.369
ovary;0.397;0.74;0.377;1;0.374
urinary bladder;1;0.92;0.077;0.569;0.374
small intestine;0.286;0.482;0.614;0.397;0.397
salivary gland;0.686;0.16;0.877;0.418;0.427
kidney;0.452;0.478;0.598;0.545;0.454
adrenal gland;0.868;0.377;0.549;0.359;0.474
duodenum;0.155;0.628;0.56;0.397;0.504
heart muscle;0.663;0.472;0.679;1;0.558
bone marrow;0.859;0.933;0.252;0.193;0.561
tonsil;0.286;0.322;0.887;0.101;0.579
thyroid gland;0.569;0.039;0.977;1;0.592
skin;0.928;0.322;0.848;0.069;0.669
appendix;NA;0.743;0.753;0.065;0.696
fallopian tube;0.339;0.629;0.77;0.765;0.709
liver;0.904;0.259;0.733;0.654;0.736
adipose tissue;0.781;0.373;0.892;1;0.739
pancreas;0.933;0.298;1;0.636;0.775
colon;NA;0.523;0.937;1;0.824
spleen;0.397;0.793;0.895;1;0.883
lymph node;NA;0.877;0.864;1;0.922
gallbladder;1;0.943;0.88;1;0.958
smooth muscle;NA;1;0.952;0.636;0.959
lung;0.815;1;0.945;0.693;0.992
endometrium;NA;1;0.92;0.74;0.997
