"","record_id","month","day","year","AverageTemperatureFahr","AverageTemperatureUncertaintyFahr","City","country_id","Country","Latitude","Longitude"
"10",474385,10,1,1853,54.8726,33.9836,"Auckland","NEW","New Zealand","36.17S","175.03E"
"20",474395,8,1,1854,52.8044,34.3544,"Auckland","NEW","New Zealand","36.17S","175.03E"
"30",474405,6,1,1855,54.842,33.7568,"Auckland","NEW","New Zealand","36.17S","175.03E"
"40",474415,4,1,1856,59.801,36.2966,"Auckland","NEW","New Zealand","36.17S","175.03E"
"50",474425,2,1,1857,63.1166,37.9544,"Auckland","NEW","New Zealand","36.17S","175.03E"
"60",474435,12,1,1857,59.5634,38.6168,"Auckland","NEW","New Zealand","36.17S","175.03E"
"70",474445,10,1,1858,54.6008,35.2004,"Auckland","NEW","New Zealand","36.17S","175.03E"
"80",474455,8,1,1859,51.89,34.349,"Auckland","NEW","New Zealand","36.17S","175.03E"
"90",474465,6,1,1860,55.3352,34.844,"Auckland","NEW","New Zealand","36.17S","175.03E"
"100",474475,4,1,1861,63.0572,36.1778,"Auckland","NEW","New Zealand","36.17S","175.03E"
"110",474485,2,1,1862,68.4356,37.9508,"Auckland","NEW","New Zealand","36.17S","175.03E"
"120",474495,12,1,1862,62.2904,36.2318,"Auckland","NEW","New Zealand","36.17S","175.03E"
"130",474505,10,1,1863,55.1426,36.4136,"Auckland","NEW","New Zealand","36.17S","175.03E"
"140",474515,8,1,1864,50.7146,35.4272,"Auckland","NEW","New Zealand","36.17S","175.03E"
"150",474525,6,1,1865,53.8502,34.538,"Auckland","NEW","New Zealand","36.17S","175.03E"
"160",474535,4,1,1866,61.5794,33.9728,"Auckland","NEW","New Zealand","36.17S","175.03E"
"170",474545,2,1,1867,66.992,33.7244,"Auckland","NEW","New Zealand","36.17S","175.03E"
"180",474555,12,1,1867,63.041,34.8782,"Auckland","NEW","New Zealand","36.17S","175.03E"
"190",474565,10,1,1868,55.3118,33.566,"Auckland","NEW","New Zealand","36.17S","175.03E"
"200",474575,8,1,1869,52.9124,33.3734,"Auckland","NEW","New Zealand","36.17S","175.03E"
"210",474585,6,1,1870,56.1974,33.9854,"Auckland","NEW","New Zealand","36.17S","175.03E"
"220",474595,4,1,1871,59.6606,33.6416,"Auckland","NEW","New Zealand","36.17S","175.03E"
"230",474605,2,1,1872,68.0234,34.6784,"Auckland","NEW","New Zealand","36.17S","175.03E"
"240",474615,12,1,1872,65.6204,35.3786,"Auckland","NEW","New Zealand","36.17S","175.03E"
"250",474625,10,1,1873,56.3846,33.5138,"Auckland","NEW","New Zealand","36.17S","175.03E"
"260",474635,8,1,1874,53.7998,33.026,"Auckland","NEW","New Zealand","36.17S","175.03E"
"270",474645,6,1,1875,55.283,33.7712,"Auckland","NEW","New Zealand","36.17S","175.03E"
"280",474655,4,1,1876,61.9322,33.7154,"Auckland","NEW","New Zealand","36.17S","175.03E"
"290",474665,2,1,1877,65.4908,34.7774,"Auckland","NEW","New Zealand","36.17S","175.03E"
"300",474675,12,1,1877,61.889,35.7062,"Auckland","NEW","New Zealand","36.17S","175.03E"
"310",474685,10,1,1878,56.237,33.4418,"Auckland","NEW","New Zealand","36.17S","175.03E"
"320",474695,8,1,1879,52.3832,33.4094,"Auckland","NEW","New Zealand","36.17S","175.03E"
"330",474705,6,1,1880,54.149,33.2654,"Auckland","NEW","New Zealand","36.17S","175.03E"
"340",474715,4,1,1881,62.3894,33.3518,"Auckland","NEW","New Zealand","36.17S","175.03E"
"350",474725,2,1,1882,64.0076,33.989,"Auckland","NEW","New Zealand","36.17S","175.03E"
"360",474735,12,1,1882,63.0734,33.3212,"Auckland","NEW","New Zealand","36.17S","175.03E"
"370",474745,10,1,1883,55.049,32.7866,"Auckland","NEW","New Zealand","36.17S","175.03E"
"380",474755,8,1,1884,53.8376,33.0566,"Auckland","NEW","New Zealand","36.17S","175.03E"
"390",474765,6,1,1885,55.1498,32.7578,"Auckland","NEW","New Zealand","36.17S","175.03E"
"400",474775,4,1,1886,62.0294,33.7388,"Auckland","NEW","New Zealand","36.17S","175.03E"
"410",474785,2,1,1887,67.2818,35.4812,"Auckland","NEW","New Zealand","36.17S","175.03E"
"420",474795,12,1,1887,60.476,33.359,"Auckland","NEW","New Zealand","36.17S","175.03E"
"430",474805,10,1,1888,55.4774,34.0286,"Auckland","NEW","New Zealand","36.17S","175.03E"
"440",474815,8,1,1889,52.8134,33.5516,"Auckland","NEW","New Zealand","36.17S","175.03E"
"450",474825,6,1,1890,55.7168,33.9116,"Auckland","NEW","New Zealand","36.17S","175.03E"
"460",474835,4,1,1891,59.8388,33.962,"Auckland","NEW","New Zealand","36.17S","175.03E"
"470",474845,2,1,1892,65.2874,33.4364,"Auckland","NEW","New Zealand","36.17S","175.03E"
"480",474855,12,1,1892,61.3796,34.448,"Auckland","NEW","New Zealand","36.17S","175.03E"
"490",474865,10,1,1893,58.3538,33.728,"Auckland","NEW","New Zealand","36.17S","175.03E"
"500",474875,8,1,1894,52.4282,34.1798,"Auckland","NEW","New Zealand","36.17S","175.03E"
"510",474885,6,1,1895,54.284,32.8946,"Auckland","NEW","New Zealand","36.17S","175.03E"
"520",474895,4,1,1896,61.5632,33.3122,"Auckland","NEW","New Zealand","36.17S","175.03E"
"530",474905,2,1,1897,67.5266,33.4814,"Auckland","NEW","New Zealand","36.17S","175.03E"
"540",474915,12,1,1897,61.3634,33.161,"Auckland","NEW","New Zealand","36.17S","175.03E"
"550",474925,10,1,1898,55.7258,32.7398,"Auckland","NEW","New Zealand","36.17S","175.03E"
"560",474935,8,1,1899,52.2824,33.1844,"Auckland","NEW","New Zealand","36.17S","175.03E"
"570",474945,6,1,1900,54.7088,34.016,"Auckland","NEW","New Zealand","36.17S","175.03E"
"580",474955,4,1,1901,61.2158,33.7154,"Auckland","NEW","New Zealand","36.17S","175.03E"
"590",474965,2,1,1902,65.3342,33.5012,"Auckland","NEW","New Zealand","36.17S","175.03E"
"600",474975,12,1,1902,59.7794,33.224,"Auckland","NEW","New Zealand","36.17S","175.03E"
"610",474985,10,1,1903,58.8254,33.3374,"Auckland","NEW","New Zealand","36.17S","175.03E"
"620",474995,8,1,1904,52.5434,33.3698,"Auckland","NEW","New Zealand","36.17S","175.03E"
"630",475005,6,1,1905,54.5288,33.1574,"Auckland","NEW","New Zealand","36.17S","175.03E"
"640",475015,4,1,1906,59.6426,34.1258,NA,"",NA,"36.17S","175.03E"
"650",475025,2,1,1907,65.0462,33.7748,"Auckland","NEW","New Zealand","36.17S","175.03E"
"660",475035,12,1,1907,65.138,33.9836,"Auckland","NEW","New Zealand","36.17S","175.03E"
"670",475045,10,1,1908,55.1534,33.4058,"Auckland","NEW","New Zealand","36.17S","175.03E"
"680",475055,8,1,1909,54.0068,33.2744,"Auckland","NEW","New Zealand","36.17S","175.03E"
"690",475065,6,1,1910,55.6394,33.2402,"Auckland","NEW","New Zealand","36.17S","175.03E"
"700",475075,4,1,1911,64.6502,34.1438,"Auckland","NEW","New Zealand","36.17S","175.03E"
"710",475085,2,1,1912,63.8708,33.2654,"Auckland","NEW","New Zealand","36.17S","175.03E"
"720",475095,12,1,1912,61.8908,34.25,"Auckland","NEW","New Zealand","36.17S","175.03E"
"730",475105,10,1,1913,57.3134,33.8234,"Auckland","NEW","New Zealand","36.17S","175.03E"
"740",475115,8,1,1914,52.4732,33.4094,"Auckland","NEW","New Zealand","36.17S","175.03E"
"750",475125,6,1,1915,55.0544,32.9864,"Auckland","NEW","New Zealand","36.17S","175.03E"
"760",475135,4,1,1916,61.8908,33.9764,"Auckland","NEW","New Zealand","36.17S","175.03E"
"770",475145,2,1,1917,65.0264,34.4282,"Auckland","NEW","New Zealand","36.17S","175.03E"
"780",475155,12,1,1917,61.9538,33.3752,"Auckland","NEW","New Zealand","36.17S","175.03E"
"790",475165,10,1,1918,56.741,32.9972,"Auckland","NEW","New Zealand","36.17S","175.03E"
"800",475175,8,1,1919,52.538,34.4498,"Auckland","NEW","New Zealand","36.17S","175.03E"
"810",475185,6,1,1920,55.0364,32.873,"Auckland","NEW","New Zealand","36.17S","175.03E"
"820",475195,4,1,1921,59.6498,32.9846,"Auckland","NEW","New Zealand","36.17S","175.03E"
"830",475205,2,1,1922,66.4178,33.0512,"Auckland","NEW","New Zealand","36.17S","175.03E"
"840",475215,12,1,1922,62.7404,32.9126,"Auckland","NEW","New Zealand","36.17S","175.03E"
